Team,Player,Event,Mins,Secs,X,Y,X2,Y2
JPN,HE OH,Half Smash,6,39,67,30,42,56
INA,KSS FH,Drive Up,6,39,41,55,65,30
JPN,HE FH,Drive Down,6,40,65,28,31,40
INA,MFG BH,Slow Lift,6,41,35,41,78,39
JPN,HE FH,Smash,6,41,77,35,36,39
INA,MFG BH,Fast Lift,6,42,31,40,70,46
JPN,HE FH,Smash,6,42,70,50,35,62
INA,KSS BH,Fast Lift,6,43,34,65,72,46
JPN,HE FH,Smash,6,43,70,48,34,67
INA,KSS BH,Fast Lift,6,44,33,72,73,58
JPN,HE FH,Fast Drop,6,45,71,58,42,46
INA,MFG FH,Slow Lift,6,46,41,43,78,32
JPN,HE FH,Fast Drop,6,47,78,36,41,30
INA,MFG BH,Slow Lift,6,48,40,30,78,47
JPN,HE FH,Smash,6,49,77,49,36,41
INA,MFG BH,Slow Lift,6,50,35,42,78,58
JPN,HE FH,Smash,6,50,77,59,35,51
INA,KSS BH,Drive Up,6,51,35,56,60,65
JPN,YW FH,Drive Down,6,52,60,73,29,76
INA,KSS FH,Drive Up,6,52,30,76,60,74
JPN,YW FH,Fast Drop,6,52,59,75,41,50
INA,MFG FH,Slow Lift,6,53,42,51,59,38
JPN,YW OH,Smash,6,54,58,37,38,36
JPN,HE BH,Low Serve,7,20,58,45,41,76
INA,KSS FH,Drive Flat,7,20,40,73,70,76
JPN,YW FH,Slow Lift,7,21,69,76,29,75
INA,MFG FH,Smash,7,22,29,75,70,76
JPN,YW BH,Drive Up,7,22,69,75,-,-
INA,MFG BH,Low Serve,7,38,42,48,58,59
JPN,YW FH,Drive Flat,7,39,58,55,39,26
INA,KSS BH,Drive Flat,7,39,38,28,67,26
JPN,HE FH,Slow Lift,7,40,68,23,30,25
INA,KSS FH,Slow Drop,7,41,29,27,57,37
JPN,HE FH,Slow Drop,7,41,58,37,44,45
INA,MFG BH,Slow Lift,7,42,42,50,77,62
JPN,YW FH,Half Smash,7,43,76,62,44,56
INA,KSS FH,Drive Down,7,43,43,53,71,70
JPN,YW FH,Fast Lift,7,45,73,73,26,44
INA,MFG OH,Fast Drop,7,45,24,44,59,69
JPN,YW FH,Slow Lift,7,47,58,73,22,35
INA,MFG FH,Smash,7,47,23,36,68,26
JPN,HE BH,Drive Up,7,48,70,28,39,31
INA,KSS OH,Drive Flat,7,48,37,26,69,25
JPN,HE FH,Drive Flat,7,48,69,28,42,47
INA,KSS FH,Drive Down,7,49,42,47,69,29
JPN,HE FH,Drive Up,7,50,70,26,45,65
INA,KSS FH,Slow Drop,7,50,44,61,57,12
JPN,HE FH,Fast Lift,7,51,57,11,26,73
INA,MFG FH,Smash,7,52,28,73,-,-
JPN,YW BH,Low Serve,8,20,58,53,42,47
INA,MFG BH,Drive Flat,8,21,42,42,58,56
JPN,YW FH,Fast Drop,8,21,58,57,41,48
JPN,YW BH,Low Serve,8,33,58,48,42,54
INA,KSS BH,Fast Drop,8,34,42,52,59,47
JPN,HE BH,Slow Lift,8,35,60,48,-,-
INA,KSS BH,Low Serve,8,49,42,51,58,49
JPN,YW FH,Slow Drop,8,50,56,47,48,48
INA,KSS FH,Drive Flat,8,51,47,51,60,30
JPN,HE FH,Slow Drop,8,51,59,30,45,30
INA,KSS BH,Drive Flat,8,52,44,28,68,40
JPN,HE FH,Drive Up,8,53,68,39,39,65
INA,MFG FH,Drive Down,8,53,38,67,68,71
JPN,HE BH,Drive Up,8,53,67,72,43,67
INA,KSS FH,Drive Down,8,54,42,67,68,63
JPN,HE BH,Drive Up,8,54,67,67,43,53
INA,KSS OH,Drive Down,8,54,43,51,66,32
JPN,YW BH,Drive Up,8,55,68,26,-,-
