Team,Player,Event,Mins,Secs,X,Y,X2,Y2
JPN,YW BH,Drive Flat,17,49,57,53,32,56
INA,MFG FH,Drive Down,17,49,35,57,65,26
JPN,HE FH,Slow Lift,17,51,65,24,25,64
INA,MFG FH,Smash,17,51,24,70,70,70
JPN,YW BH,Fast Lift,17,52,70,72,39,72
INA,KSS FH,Slow Drop,17,52,39,73,56,71
JPN,YW FH,Fast Drop,17,53,55,73,45,44
INA,KSS BH,Drive Flat,17,53,45,44,58,54
JPN,YW FH,Slow Drop,17,55,58,56,43,60
INA,MFG FH,Slow Drop,17,55,43,60,57,59
JPN,YW FH,Drive Flat,17,56,57,57,31,76
INA,MFG FH,Slow Lift,17,57,30,76,70,70
JPN,HE FH,Half Smash,17,57,70,69,30,70
INA,MFG BH,Slow Lift,17,58,31,71,77,65
JPN,HE FH,Smash,17,59,77,66,30,76
INA,MFG FH,Drive Up,17,59,30,75,58,76
JPN,YW FH,Smash,18,0,58,76,31,34
JPN,HE BH,Low Serve,18,31,57,50,43,54
INA,MFG BH,Fast Drop,18,32,43,57,58,50
JPN,HE BH,Drive Flat,18,32,58,50,-,-
INA,MFG BH,Low Serve,18,48,43,56,57,49
JPN,HE BH,Drive Up,18,48,58,48,32,30
INA,KSS BH,Fast Drop,18,49,34,24,60,28
JPN,YW BH,Slow Lift,18,50,62,28,23,57
INA,MFG FH,Smash,18,51,23,59,70,57
JPN,HE BH,Drive Up,18,51,70,58,40,27
INA,KSS OH,Drive Down,18,52,39,26,69,32
JPN,YW BH,Slow Lift,18,53,70,31,27,48
INA,MFG FH,Smash,18,53,27,47,69,51
JPN,HE FH,Drive Up,18,54,70,55,41,66
INA,KSS FH,Fast Drop,18,54,42,68,59,54
JPN,HE FH,Fast Drop,18,55,57,56,44,26
INA,KSS BH,Slow Drop,18,56,44,25,53,26
JPN,HE FH,Drive Up,18,57,53,25,30,26
INA,MFG BH,Slow Lift,18,58,30,27,69,31
JPN,YW FH,Smash,18,58,69,28,31,39
INA,MFG BH,Slow Lift,18,59,30,41,76,60
JPN,HE FH,Half Smash,19,0,76,59,32,40
INA,MFG FH,Drive Up,19,0,34,42,63,36
JPN,YW FH,Drive Down,19,1,63,36,31,33
INA,MFG BH,Drive Flat,19,1,31,32,-,-
JPN,YW BH,Low Serve,19,25,57,53,42,49
INA,KSS FH,Fast Drop,19,25,42,48,58,53
JPN,YW FH,Slow Lift,19,27,57,54,21,48
INA,MFG FH,Fast Drop,19,27,22,46,57,24
JPN,YW BH,Fast Lift,19,28,58,23,22,19
INA,MFG OH,Smash,19,29,24,18,72,25
JPN,YW BH,Slow Lift,19,30,73,25,30,56
INA,KSS FH,Smash,19,30,30,55,69,32
JPN,YW BH,Drive Up,19,31,69,29,43,55
INA,MFG FH,Drive Down,19,31,43,56,70,51
JPN,HE FH,Fast Lift,19,32,71,51,31,72
INA,KSS FH,Slow Drop,19,32,32,76,58,63
JPN,HE FH,Slow Lift,19,34,58,62,22,28
INA,KSS FH,Smash,19,35,22,29,69,28
JPN,YW BH,Fast Lift,19,36,69,25,29,69
INA,KSS FH,Smash,19,36,29,75,69,72
JPN,HE BH,Fast Drop,19,37,70,74,43,75
INA,KSS FH,Fast Lift,19,38,43,75,-,-
JPN,YW BH,Low Serve,20,20,58,47,42,59
INA,MFG BH,Drive Flat,20,21,42,60,66,67
JPN,HE BH,Drive Up,20,21,67,68,36,34
INA,KSS BH,Drive Up,20,22,36,36,68,50
JPN,HE FH,Drive Down,20,22,66,52,35,26
INA,KSS BH,Fast Lift,20,23,34,26,76,54
JPN,YW FH,Slow Drop,20,24,78,49,43,92
